,name,label
0,0_0,4
1,0_1,5
2,0_2,28
3,0_3,8
4,0_4,27
5,0_7,4
6,0_8,3
7,0_9,28
8,0_10,24
9,0_12,28
10,0_13,22
11,0_15,33
12,0_17,26
13,0_18,24
14,0_20,28
15,0_22,28
16,0_23,28
17,0_24,27
18,0_25,33
19,0_27,28
20,0_28,28
21,0_29,3
22,0_30,4
23,0_33,8
24,0_35,22
25,0_36,0
26,0_37,24
27,0_39,26
28,0_40,3
29,0_41,8
30,0_42,20
31,0_43,2
32,0_44,28
33,0_45,22
34,0_47,28
35,0_48,18
36,0_49,28
37,0_50,28
38,0_52,31
39,0_53,4
40,0_54,28
41,0_55,26
42,0_56,5
43,0_57,28
44,0_58,24
45,0_59,20
46,0_60,9
47,0_61,9
48,0_62,8
49,0_63,5
50,0_65,28
51,0_66,9
52,0_68,28
53,0_69,5
54,0_70,33
55,0_71,28
56,0_72,28
57,0_73,39
58,0_76,26
59,0_77,13
60,0_78,28
61,0_79,2
62,0_80,28
63,0_83,3
64,0_84,24
65,0_85,4
66,0_86,23
67,0_89,29
68,0_90,28
69,0_91,26
70,0_93,33
71,0_94,24
72,0_95,28
73,0_96,0
74,0_97,5
75,0_98,24
76,0_99,28
77,0_102,31
78,0_103,33
79,0_105,28
80,0_107,28
81,0_108,27
82,0_109,8
83,0_110,2
84,0_111,28
85,0_112,4
86,0_113,28
87,0_114,23
88,0_115,22
89,0_117,26
90,0_118,28
91,0_119,26
92,0_120,8
93,0_121,8
94,0_122,28
95,0_124,28
96,0_125,4
97,0_131,28
98,0_132,28
99,0_133,8
100,0_134,4
101,0_136,28
102,0_139,27
103,0_140,23
104,0_145,31
105,0_147,26
106,0_148,22
107,0_149,2
108,0_150,23
109,0_151,28
110,0_152,28
111,0_153,2
112,0_154,24
113,0_155,28
114,0_156,28
115,0_157,2
116,0_158,28
117,0_159,23
118,0_160,28
119,0_161,22
120,0_162,4
121,0_163,8
122,0_165,28
123,0_166,32
124,0_168,8
125,0_169,28
126,0_170,8
127,0_171,28
128,0_172,23
129,0_173,8
130,0_174,5
131,0_175,28
132,0_176,28
133,0_179,24
134,0_181,9
135,0_183,32
136,0_185,8
137,0_186,1
138,0_187,8
139,0_188,8
140,0_189,28
141,0_192,2
142,0_193,1
143,0_194,33
144,0_195,7
145,0_196,24
146,0_197,26
147,0_198,23
148,0_199,8
149,0_200,1
150,0_201,39
151,0_203,28
152,0_205,31
153,0_206,26
154,0_207,26
155,0_208,28
156,0_209,2
157,0_210,39
158,0_211,20
159,0_212,26
160,0_213,3
161,0_214,28
162,0_215,4
163,0_216,24
164,0_217,26
165,0_222,28
166,0_223,31
167,0_225,22
168,0_226,7
169,0_228,28
170,0_229,28
171,0_231,39
172,0_237,2
173,0_238,26
174,0_239,28
175,0_240,28
176,0_242,20
177,0_243,22
178,0_244,24
179,0_245,5
180,0_247,32
181,0_248,8
182,0_250,24
183,0_252,28
184,0_253,24
185,0_254,39
186,0_255,33
187,0_256,8
188,0_257,2
189,0_258,26
190,0_259,2
191,0_260,13
192,0_261,28
193,0_262,29
194,0_264,8
195,0_265,8
196,0_266,3
197,0_267,27
198,0_268,13
199,0_269,20
200,0_270,13
201,0_271,28
202,0_273,27
203,0_275,9
204,0_276,28
205,0_279,28
206,0_281,8
207,0_282,28
208,0_283,2
209,0_284,4
210,0_287,8
211,0_288,3
212,0_291,28
213,0_292,4
214,0_293,8
215,0_294,4
216,0_296,28
217,0_298,18
218,0_299,24
219,0_300,28
220,0_301,28
221,0_302,13
222,0_303,24
223,0_304,26
224,0_306,28
225,0_307,8
226,0_309,31
227,0_311,26
228,0_312,24
229,0_313,28
230,0_314,27
231,0_316,28
232,0_317,28
233,0_319,4
234,0_323,8
235,0_324,28
236,0_327,4
237,0_329,31
238,0_330,5
239,0_333,24
240,0_334,26
241,0_335,23
242,0_338,27
243,0_341,26
244,0_342,8
245,0_343,4
246,0_344,8
247,0_345,28
248,0_346,24
249,0_347,24
250,0_349,8
251,0_350,25
252,0_351,28
253,0_352,27
254,0_353,0
255,0_355,26
256,0_359,24
257,0_360,8
258,0_362,24
259,0_363,28
260,0_364,24
261,0_370,24
262,0_371,26
263,0_372,24
264,0_373,5
265,0_374,1
266,0_375,26
267,0_376,28
268,0_377,33
269,0_381,24
270,0_385,26
271,0_387,28
272,0_388,33
273,0_390,28
274,0_391,26
275,0_392,5
276,0_393,26
277,0_394,24
278,0_395,4
279,0_396,4
280,0_399,28
281,0_400,2
282,0_402,22
283,0_404,25
284,0_405,28
285,0_406,28
286,0_407,2
287,0_408,24
288,0_410,28
289,0_411,4
290,0_412,39
291,0_413,4
292,0_414,4
293,0_418,32
294,0_420,26
295,0_421,24
296,0_423,20
297,0_424,28
298,0_425,24
299,0_426,28
300,0_428,4
301,0_430,2
302,0_431,2
303,0_432,5
304,0_433,28
305,0_434,27
306,0_435,2
307,0_436,23
308,0_438,8
309,0_439,20
310,0_440,27
311,0_441,22
312,0_442,27
313,0_445,2
314,0_446,20
315,0_450,29
316,0_451,24
317,0_452,22
318,0_453,24
319,0_456,26
320,0_457,5
321,0_458,3
322,0_460,31
323,0_461,24
324,0_462,24
325,0_463,24
326,0_467,24
327,0_468,28
328,0_469,15
329,0_470,25
330,0_473,28
331,0_474,8
332,0_478,25
333,0_479,8
334,0_480,4
335,0_482,24
336,0_483,4
337,0_484,24
338,0_485,31
339,0_487,26
340,0_488,20
341,0_490,28
342,0_492,8
343,0_494,4
344,0_495,23
345,0_496,24
346,0_497,24
347,0_499,24
348,0_500,31
349,0_501,28
350,0_503,4
351,0_504,26
352,0_506,24
353,0_507,4
354,0_508,24
355,0_510,24
356,0_511,4
357,0_513,4
358,0_515,28
359,0_516,2
360,0_517,27
361,0_518,31
362,0_519,24
363,0_521,28
364,0_522,31
365,0_524,3
366,0_525,5
367,0_527,28
368,0_529,27
369,0_531,24
370,0_532,23
371,0_534,28
372,0_536,4
373,0_541,3
374,0_542,28
375,0_544,24
376,0_545,3
377,0_547,3
378,0_548,2
379,0_549,26
380,0_553,28
381,0_556,31
382,0_557,39
383,0_560,26
384,0_561,28
385,0_562,28
386,0_564,24
387,0_567,24
388,0_569,13
389,0_570,24
390,0_575,22
391,0_579,24
392,0_581,3
393,0_582,3
394,0_584,27
395,0_585,24
396,0_586,26
397,0_589,24
398,0_592,2
399,0_593,24
400,0_594,22
401,0_595,26
402,0_596,20
403,0_597,24
404,0_598,9
405,0_599,28
406,0_600,24
407,0_601,28
408,0_603,5
409,0_606,24
410,0_607,4
411,0_608,13
412,0_612,28
413,0_614,7
414,0_618,31
415,0_619,13
416,0_620,27
417,0_621,2
418,0_623,24
419,0_625,33
420,0_627,27
421,0_628,13
422,0_631,31
423,0_632,4
424,0_633,39
425,0_634,24
426,0_635,28
427,0_636,2
428,0_637,24
429,0_638,27
430,0_641,28
431,0_643,31
432,0_646,24
433,0_647,24
434,0_648,24
435,0_649,23
436,0_650,27
437,0_652,25
438,0_653,4
439,0_654,13
440,0_655,24
441,0_657,4
442,0_658,25
443,0_663,24
444,0_664,24
445,0_666,18
446,0_667,24
447,0_669,24
448,0_670,4
449,0_671,24
450,0_674,4
451,0_677,24
452,0_679,28
453,0_680,27
454,0_681,26
455,0_682,24
456,0_683,24
457,0_684,5
458,0_685,24
459,0_686,33
460,0_689,28
461,0_691,28
462,0_692,27
463,0_694,25
464,0_696,9
465,0_697,39
466,0_698,27
467,0_699,8
468,0_700,28
469,0_701,24
470,0_702,31
471,0_703,24
472,0_704,24
473,0_705,28
474,0_707,26
475,0_709,5
476,0_710,24
477,0_711,24
478,0_712,20
479,0_716,13
480,0_718,24
481,0_723,24
482,0_725,28
483,0_726,18
484,0_727,24
485,0_728,24
486,0_733,26
487,0_734,4
488,0_735,28
489,0_739,24
490,0_740,27
491,0_742,24
492,0_744,4
493,0_746,28
494,0_747,5
495,0_749,28
496,0_754,22
497,0_758,4
498,0_759,24
499,0_760,2
500,0_764,28
501,0_765,24
502,0_767,24
503,0_769,24
504,0_770,24
505,0_776,3
506,0_778,24
507,0_779,5
508,0_780,39
509,0_782,24
510,0_784,4
511,0_785,13
512,0_786,24
513,0_788,24
514,0_790,24
515,0_792,24
516,0_793,24
517,0_794,24
518,0_795,24
519,0_796,24
520,0_797,27
521,0_798,24
522,0_800,24
523,0_802,3
524,0_807,26
525,0_810,28
526,0_812,28
527,0_813,28
528,0_814,27
529,0_815,7
530,0_817,5
531,0_818,5
532,0_819,20
533,0_820,5
534,0_823,5
535,0_824,28
536,0_825,26
537,0_827,24
538,0_830,24
539,0_831,5
540,0_832,24
541,0_833,24
542,0_834,7
543,0_838,28
544,0_841,24
545,0_846,4
546,0_847,27
547,0_848,9
548,0_849,28
549,0_851,9
550,0_854,9
551,0_857,24
552,0_859,31
553,0_860,28
554,0_861,3
555,0_862,39
556,0_865,23
557,0_866,24
558,0_868,31
559,0_870,29
560,0_872,31
561,0_873,28
562,0_874,2
563,0_875,33
564,0_876,26
565,0_877,23
566,0_878,2
567,0_880,3
568,0_881,24
569,0_883,20
570,0_884,28
571,0_885,28
572,0_886,28
573,0_888,8
574,0_889,9
575,0_890,28
576,0_892,26
577,0_894,28
578,0_895,28
579,0_896,4
580,0_901,26
581,0_902,24
582,0_903,24
583,0_904,24
584,0_905,2
585,0_906,31
586,0_908,2
587,0_910,2
588,0_914,28
589,0_915,9
590,0_917,2
591,0_918,2
592,0_919,28
593,0_923,26
594,0_924,20
595,0_927,24
596,0_928,28
597,0_929,28
598,0_931,9
599,0_932,39
600,0_933,9
601,0_936,23
602,0_939,28
603,0_940,5
604,0_941,24
605,0_944,28
606,0_945,5
607,0_946,3
608,0_947,28
609,0_948,24
610,0_953,28
611,0_955,28
612,0_956,28
613,0_958,24
614,0_960,20
615,0_961,28
616,0_962,24
617,0_963,31
618,0_965,5
619,0_967,24
620,0_969,39
621,0_971,39
622,0_972,3
623,0_973,28
624,0_974,20
625,0_975,28
626,0_977,24
627,0_978,24
628,0_979,13
629,0_980,2
630,0_981,28
631,0_982,4
632,0_983,24
633,0_985,28
634,0_986,28
635,0_987,27
636,0_989,27
637,0_990,28
638,0_992,26
639,0_993,2
640,0_994,39
641,0_997,9
642,0_1000,4
643,0_1001,8
644,0_1002,24
645,0_1004,1
646,0_1005,28
647,0_1008,18
648,0_1009,8
649,0_1012,39
650,0_1015,26
651,0_1016,9
652,0_1017,7
653,0_1018,24
654,0_1019,24
655,0_1020,4
656,0_1023,8
657,0_1028,4
658,0_1029,28
659,0_1030,28
660,0_1033,22
661,0_1034,26
662,0_1036,8
663,0_1038,27
664,0_1039,28
665,0_1040,32
666,0_1045,5
667,0_1046,20
668,0_1051,39
669,0_1052,2
670,0_1054,28
671,0_1056,2
672,0_1059,8
673,0_1061,2
674,0_1064,28
675,0_1065,23
676,0_1066,31
677,0_1067,2
678,0_1068,28
679,0_1069,9
680,0_1071,27
681,0_1072,39
682,0_1074,9
683,0_1075,28
684,0_1076,4
685,0_1077,26
686,0_1079,23
687,0_1080,33
688,0_1081,39
689,0_1082,2
690,0_1084,8
691,0_1085,28
692,0_1088,28
693,0_1089,24
694,0_1090,2
695,0_1091,31
696,0_1093,24
697,0_1096,27
698,0_1100,24
699,0_1103,27
700,0_1105,4
701,0_1107,23
702,0_1110,28
703,0_1111,5
704,0_1112,24
705,0_1113,7
706,0_1114,8
707,0_1115,28
708,0_1116,28
709,0_1117,24
710,0_1119,24
